2023-05-27 22:25:39 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：1
     exploration_max: 1.0
     exploration_min: 0.02
     exploration_decay: 0.999999
     lr: 0.00025
     batch size: 32
     max_memory_size: 100000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp11
     test_model_dir: runs/exp3
     desc: 
     render_mode: 3

2023-05-27 23:38:22 - INFO - Episode 145, total score=1020, average score=583.54, exploration_rate=0.9532, 每步耗时：0.0001, 训练耗时：0.0816
2023-05-27 23:38:28 - INFO - Episode 146, total score=219, average score=581.05, exploration_rate=0.9531, 每步耗时：0.0001, 训练耗时：0.0832
2023-05-27 23:38:33 - INFO - Episode 147, total score=223, average score=578.61, exploration_rate=0.9531, 每步耗时：0.0001, 训练耗时：0.0820
2023-05-27 23:38:45 - INFO - Episode 148, total score=623, average score=578.91, exploration_rate=0.9530, 每步耗时：0.0001, 训练耗时：0.0816
2023-05-27 23:38:55 - INFO - Episode 149, total score=616, average score=579.16, exploration_rate=0.9529, 每步耗时：0.0001, 训练耗时：0.0831
2023-05-27 23:39:39 - INFO - Episode 150, total score=976, average score=581.81, exploration_rate=0.9524, 每步耗时：0.0001, 训练耗时：0.0819
2023-05-27 23:39:44 - INFO - Episode 151, total score=234, average score=579.50, exploration_rate=0.9524, 每步耗时：0.0001, 训练耗时：0.0817
2023-05-27 23:40:12 - INFO - Episode 152, total score=1030, average score=582.47, exploration_rate=0.9521, 每步耗时：0.0001, 训练耗时：0.0817
2023-05-27 23:40:16 - INFO - Episode 153, total score=247, average score=580.27, exploration_rate=0.9520, 每步耗时：0.0001, 训练耗时：0.0829
2023-05-27 23:40:27 - INFO - Episode 154, total score=580, average score=580.27, exploration_rate=0.9519, 每步耗时：0.0001, 训练耗时：0.0828
2023-05-27 23:40:31 - INFO - Episode 155, total score=230, average score=578.01, exploration_rate=0.9519, 每步耗时：0.0002, 训练耗时：0.0829
2023-05-27 23:41:40 - INFO - Episode 156, total score=644, average score=578.44, exploration_rate=0.9512, 每步耗时：0.0001, 训练耗时：0.0820
2023-05-27 23:42:04 - INFO - Episode 157, total score=617, average score=578.68, exploration_rate=0.9509, 每步耗时：0.0001, 训练耗时：0.0822
2023-05-27 23:42:19 - INFO - Episode 158, total score=567, average score=578.61, exploration_rate=0.9508, 每步耗时：0.0001, 训练耗时：0.0823
2023-05-27 23:42:23 - INFO - Episode 159, total score=235, average score=576.45, exploration_rate=0.9507, 每步耗时：0.0001, 训练耗时：0.0827
2023-05-27 23:42:44 - INFO - Episode 160, total score=800, average score=577.84, exploration_rate=0.9505, 每步耗时：0.0001, 训练耗时：0.0834
2023-05-27 23:43:46 - INFO - Episode 161, total score=650, average score=578.29, exploration_rate=0.9499, 每步耗时：0.0001, 训练耗时：0.0824
